Frequenz	Links	Rechts
80	-15	-10
95	-16	-17
110	-28	-23
125	-33	-30
156.25	-38	-33
187.5	-46	-39
218.75	-53	-45
250	-60	-53
312.5	-64	-63
375	-73	-65
437.5	-72	-68
500	-76	-73
562.5	-67	-63
625	-70	-65
687.5	-69	-61
750	-72	-66
812.5	-64	-67
875	-66	-69
937.5	-63	-68
1000	-76	-76
1125	-69	-70
1250	-68	-74
1375	-72	-66
1500	-75	-70
1625	-63	-61
1750	-66	-66
1875	-60	-71
2000	-62	-61
2250	-65	-66
2500	-68	-70
2750	-66	-65
3000	-72	-71
3250	-69	-67
3500	-69	-68
3750	-71	-70
4000	-62	-76
4500	-65	-72
5000	-68	-77
5500	-61	-69
6000	-63	-62
6500	-55	-72
7000	-45	-65
7500	-50	-51
8000	-56	-52
9000	-63	-54
10000	-43	-53
11000	-45	-46
12000	-42	-44
13000	-35	-40
14000	-41	-32
15000	-23	-31
16000	2	-15
17000	7	11
